Question_ID,Question_Text,Bloom_Label
1,From each number pick out the word whose underlined part is pronounced differently from the others,Apply
2,From each number pick out the word whose underlined part is pronounced differently from the others,Apply
3,From each number pick out the word whose underlined part is pronounced differently from the others,Apply
4,From each number pick out the word whose underlined part is pronounced differently from the others,Apply
5,From each number pick out the word whose underlined part is pronounced differently from the others,Apply
6,I have no idea what the traditional drums,Understand
7,Minhs father often takes him the park every summer,Understand
8,A I won the first prize in the English speaking contest B,Understand
9,My father gave up smoking two years ago,Understand
10,my cousin is young she is one of the most skillful artisan in Bat Trang village,Understand
11,The amusement centre is so small that they cannot the demand of the local residents,Understand
12,Karachi is city in the world population,Understand
13,He wondered his parents what he really thought,Understand
14,My parents once took me to Bat Trang village I could make my own there I really enjoyed it,Understand
15,hes spent a lot of money to decorate his shop he cannot make any more profit,Understand
16,Read the following passage and circle the letter A B C or D to indicate the correct word My village is 1 Hoa Binh Province It is a very beautiful and 2 place where people 3 flowers and vegetables only It is very famous for its pretty roses and picturesque scenery The air is quite fresh however the smell of roses makes people feel cool In spring my village looks like a carpet with plenty of 4 Tourists come to visit it so often Nowadays with electricity and labor saving devices it doesnt take the villagers 5 time to water the roses And even at night People can walk along the path and enjoy the fresh smell of the flowers Questions 1,Remember
17,Read the following passage and circle the letter A B C or D to indicate the correct word My village is 1 Hoa Binh Province It is a very beautiful and 2 place where people 3 flowers and vegetables only It is very famous for its pretty roses and picturesque scenery The air is quite fresh however the smell of roses makes people feel cool In spring my village looks like a carpet with plenty of 4 Tourists come to visit it so often Nowadays with electricity and labor saving devices it doesnt take the villagers 5 time to water the roses And even at night People can walk along the path and enjoy the fresh smell of the flowers Questions 2,Remember
18,Read the following passage and circle the letter A B C or D to indicate the correct word My village is 1 Hoa Binh Province It is a very beautiful and 2 place where people 3 flowers and vegetables only It is very famous for its pretty roses and picturesque scenery The air is quite fresh however the smell of roses makes people feel cool In spring my village looks like a carpet with plenty of 4 Tourists come to visit it so often Nowadays with electricity and labor saving devices it doesnt take the villagers 5 time to water the roses And even at night People can walk along the path and enjoy the fresh smell of the flowers Questions 3,Remember
19,Read the following passage and circle the letter A B C or D to indicate the correct word My village is 1 Hoa Binh Province It is a very beautiful and 2 place where people 3 flowers and vegetables only It is very famous for its pretty roses and picturesque scenery The air is quite fresh however the smell of roses makes people feel cool In spring my village looks like a carpet with plenty of 4 Tourists come to visit it so often Nowadays with electricity and labor saving devices it doesnt take the villagers 5 time to water the roses And even at night People can walk along the path and enjoy the fresh smell of the flowers Question 4,Remember
20,Read the following passage and circle the letter A B C or D to indicate the correct word My village is 1 Hoa Binh Province It is a very beautiful and 2 place where people 3 flowers and vegetables only It is very famous for its pretty roses and picturesque scenery The air is quite fresh however the smell of roses makes people feel cool In spring my village looks like a carpet with plenty of 4 Tourists come to visit it so often Nowadays with electricity and labor saving devices it doesnt take the villagers 5 time to water the roses And even at night People can walk along the path and enjoy the fresh smell of the flowers Question 5,Remember
21,Choose the word which contains the vowel sound pronounced differently from that of the others,Remember
22,Choose the word which contains the vowel sound pronounced differently from that of the others,Remember
23,Choose the word which contains the vowel sound pronounced differently from that of the others,Remember
24,Choose the word which contains the vowel sound pronounced differently from that of the others,Remember
25,Choose the word which contains the vowel sound pronounced differently from that of the others,Remember
26,Choose a b c or d to complete these sentences They _________ Da Lat last summer,Apply
27,We have learnt English_________2003,Understand
28,Ba cant fly He wishes he_________fly,Understand
29,He is a teacher _________,Understand
30,He is tired _________ he has to stay up late,Understand
31,The car_________ in Japan,Understand
32,Tom said that he_________ in the city,Remember
33,Lets play soccer _________,Understand
34,I used to_________ up late when I was a child,Understand
35,He_________ playing guitar at night,Understand
